R̩gions;2010;2011;2012;2013;2014;2015;2016;2017
B. du Mouhoun;20;24,6;28;30,5;33,7;38,6;42,3;53,6
Cascades;19,5;17,5;20,9;22,4;24,4;26,4;28,4;38,4
Centre;420,1;450,9;501,2;532,9;565,5;595,4;575,7;709,2
Centre-Est;30,1;32,6;35,6;38,2;40,9;44,8;46,6;51,3
Centre-Nord;16,7;14,7;16,6;19,6;21,2;23,5;24,7;28,6
Centre-Ouest;29,9;31,5;34,6;29,7;31,8;34,2;36;38,6
Centre-Sud;8,9;9,3;9,8;10,6;11,9;12,8;15;16,6
Est;27,2;19,1;19,7;22,3;24,8;25,4;26,9;30,1
Hauts-Bassins;178,3;186,5;200;205,7;219,5;232,8;241,6;253,8
Nord;23,3;23;23,8;26,6;28,6;31,5;34,4;37,4
Plateau Central;9,9;10,9;13;14,4;15,1;16,1;18,3;21
Sahel;12,6;13,9;14,6;16,9;18,5;24,4;22,1;16,6
Sud-Ouest;10,9;12,1;12,5;13,6;14,3;15,1;23,5;26,4
Burkina Faso;807,4;846,7;930,3;983,4;1050,2;1121,1;1135,2;1321,7
